"car_id","model_id","current_collector_id","production_year","mileage","condition_state","color","interior_color","notes"
1,1,1,1990,1500,Mint,Rosso Corsa,Red,Ex-collection of a famous racer.
2,2,2,1971,12000,Excellent,Arancio Miura,Black,Original engine.
3,3,8,1978,45000,Restored,Silver,Black,Restored by Magnus Walker.
4,4,1,1964,30000,Excellent,Silver Birch,Black,Movie spec car.
5,5,19,2008,2500,Mint,Blue/Black,Beige,Special edition Hermès.
6,6,14,1955,18000,Excellent,Silver,Red Plaid,Original Gullwing doors.
7,7,7,1980,5000,Good,White,Black,Homologation special.
8,8,16,2010,8000,Excellent,Daytona Grey,Black,V10 Manual.
9,9,11,2005,500,Mint,White/Blue,Blue,One of 50 units.
10,10,12,1964,4500,Restored,Alfa Red,Black,Tube chassis race car.
11,11,6,1961,25000,Excellent,British Racing Green,Tan,Early flat-floor model.
12,12,18,2015,1200,Mint,Black,White,Custom interior.
13,13,20,1995,35000,Good,Green,Cream,Luxury grand tourer.
14,14,20,1997,10000,Excellent,Dark Purple,Grey,Famously crashed and repaired.
15,15,5,1999,100,Mint,Silver,Blue,Chassis number 001.
16,16,11,2007,3000,Excellent,Carbon Fiber,Black,Top Gear tested.
17,17,4,1966,15000,Restored,Gulf Livery,Black,Le Mans winner.
18,18,1,1963,40000,Good,Split Window Blue,Blue,Iconic split window.
19,19,13,1967,12000,Excellent,White,Black,The first Japanese supercar.
20,20,19,2002,15000,Mint,Bayside Blue,Grey,Z-Tune spec.
